
     Program DYNMAT v.6.4 starts on  7Jan2021 at 20:25:31 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
         "P. Giannozzi et al., J. Phys.:Condens. Matter 29 465901 (2017);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI), running on    16 processors

     MPI processes distributed on     1 nodes
     R & G space division:  proc/nbgrp/npool/nimage =      16

     Reading Dynamical Matrix from file AlPO3_3.dynG
     ...Force constants read
     ...epsilon and Z* read
     ...Raman cross sections read
     Acoustic Sum Rule: || Z*(ASR) - Z*(orig)|| =    7.217650E-02
     Acoustic Sum Rule: ||dyn(ASR) - dyn(orig)||=    1.195549E-01
     A direction for q was not specified:TO-LO splitting will be absent

     Polarizability (A^3 units)
     multiply by 0.667384 for Clausius-Mossotti correction
       301.277472   -0.000700   -0.000700
        -0.000700  301.277472   -0.000700
        -0.000700   -0.000700  301.277472

     IR activities are in (D/A)^2/amu units
     Raman activities are in A^4/amu units
     multiply Raman by 0.445401 for Clausius-Mossotti correction

# mode   [cm-1]    [THz]      IR          Raman   depol.fact
   89    -75.07   -2.2505    0.1254         0.4372    0.7500
   90    -62.77   -1.8817    0.0019         0.0106    0.6412
   91    -56.25   -1.6862    0.0246         0.0925    0.6435
   92    -42.74   -1.2814    0.0207         0.7612    0.7500
   93    -42.74   -1.2814    0.0207         0.7612    0.7500
   94    -36.97   -1.1083    0.0035         0.2919    0.0101
   95    -31.91   -0.9565    0.2268         1.0735    0.7500
   96    -31.91   -0.9565    0.2268         1.0735    0.7500
   97     -0.00   -0.0000    0.0000         0.0014    0.7499
   98      0.00    0.0000    0.0000         0.0014    0.7499
   99      0.00    0.0000    0.0000         0.0014    0.7500
  100      8.43    0.2528    0.0098         0.1989    0.2083
  101     26.04    0.7806    0.0138         0.1796    0.7500
  102     26.04    0.7806    0.0138         0.1796    0.7500
  103     31.36    0.9402    0.0000         0.0024    0.7482
  104     46.58    1.3963    0.0124         1.1373    0.4486
  105     48.66    1.4589    0.4470         0.1012    0.7500
  106     48.66    1.4589    0.4470         0.1012    0.7500
  107     63.26    1.8964    0.2969         1.1987    0.7500
  108     63.26    1.8964    0.2969         1.1987    0.7500
  109     67.81    2.0329    0.0024         0.3945    0.1290
  110     75.26    2.2563    0.0372         0.2596    0.7185
  111     83.60    2.5063    0.1668         1.0490    0.7500
  112     83.60    2.5063    0.1668         1.0490    0.7500
