cm-1 Intensity 

-414.0 2.162800000000011
-410.16 3.1422000000000114
-406.32000000000005 2.781100000000011
-402.4800000000001 1.5199999999999991
-398.6400000000001 0.562299999999999
-394.8000000000001 0.1863999999999994
-390.96000000000015 0.08490000000000024
-387.1200000000002 0.05660000000000016
-383.2800000000002 0.044600000000000056
-379.4400000000002 0.03839999999999999
-375.60000000000025 0.03409999999999998
-371.7600000000003 0.03159999999999996
-367.9200000000003 0.02979999999999997
-364.0800000000003 0.02869999999999997
-360.24000000000035 0.027599999999999975
-356.4000000000004 0.026699999999999984
-352.5600000000004 0.02659999999999998
-348.7200000000004 0.02619999999999998
-344.88000000000045 0.026299999999999983
-341.0400000000005 0.026299999999999983
-337.2000000000005 0.026299999999999983
-333.3600000000005 0.02659999999999998
-329.52000000000055 0.027199999999999974
-325.6800000000006 0.027399999999999976
-321.8400000000006 0.027899999999999977
-318.0000000000006 0.027899999999999977
-314.16000000000065 0.028299999999999974
-310.3200000000007 0.029199999999999976
-306.4800000000007 0.029699999999999976
-302.6400000000007 0.030999999999999975
-298.80000000000075 0.03169999999999997
-294.9600000000008 0.03259999999999998
-291.1200000000008 0.032899999999999985
-287.2800000000008 0.034699999999999974
-283.44000000000085 0.03629999999999997
-279.6000000000009 0.03859999999999998
-275.7600000000009 0.04069999999999998
-271.9200000000009 0.04369999999999999
-268.08000000000095 0.04770000000000005
-264.240000000001 0.05340000000000009
-260.400000000001 0.06500000000000024
-256.560000000001 0.09640000000000036
-252.72000000000102 0.1968999999999992
-248.88000000000102 0.43259999999999876
-245.04000000000102 0.8019999999999976
-241.200000000001 1.2449999999999972
-237.360000000001 1.6420999999999968
-233.520000000001 1.7073999999999974
-229.680000000001 1.448199999999997
-225.840000000001 1.3476999999999975
-222.000000000001 1.5958999999999968
-218.160000000001 1.868199999999997
-214.320000000001 1.8407999999999969
-210.48000000000098 1.5116999999999972
-206.64000000000098 1.1272999999999966
-202.80000000000098 0.8873999999999973
-198.96000000000097 0.8532999999999973
-195.12000000000097 1.0761999999999967
-191.28000000000097 1.409199999999997
-187.44000000000096 1.4364999999999966
-183.60000000000096 1.1014999999999966
-179.76000000000096 0.8806999999999977
-175.92000000000095 0.9985999999999976
-172.08000000000095 1.2234999999999965
-168.24000000000095 1.420099999999996
-164.40000000000094 1.586299999999997
-160.56000000000094 1.5727999999999966
-156.72000000000094 1.356799999999997
-152.88000000000093 1.2816999999999974
-149.04000000000093 1.7179999999999969
-145.20000000000093 2.6020000000000225
-141.36000000000092 3.449900000000024
-137.52000000000092 3.9656000000000238
-133.68000000000092 4.424799999999988
-129.8400000000009 4.933099999999991
-126.00000000000091 4.84479999999999
-122.1600000000009 3.83530000000002
-118.3200000000009 2.5653000000000215
-114.4800000000009 1.6220999999999968
-110.6400000000009 1.2085999999999963
-106.80000000000089 1.4717999999999967
-102.96000000000089 2.4413000000000213
-99.12000000000089 3.815500000000022
-95.28000000000088 4.75869999999999
-91.44000000000088 4.508599999999995
-87.60000000000088 3.289100000000022
-83.76000000000087 2.089600000000022
-79.92000000000087 1.5369999999999961
-76.08000000000087 1.3595999999999964
-72.24000000000086 1.0464999999999964
-68.40000000000086 0.614099999999998
-64.56000000000085 0.3436999999999988
-60.72000000000085 0.27849999999999914
-56.88000000000085 0.3249999999999987
-53.040000000000845 0.5036999999999989
-49.20000000000084 0.9829999999999974
-45.36000000000084 1.7071999999999967
-41.520000000000834 2.2737000000000203
-37.68000000000083 2.6021000000000187
-33.84000000000083 2.7755000000000196
-30.000000000000828 2.3753000000000197
-26.160000000000828 1.4190999999999958
-22.320000000000828 0.6211999999999972
-18.480000000000828 0.27159999999999906
-14.640000000000828 0.17239999999999958
-10.800000000000828 0.1471000000000001
-6.960000000000829 0.14520000000000025
-3.1200000000008288 0.16199999999999976
0.7199999999991711 0.21269999999999942
4.559999999999171 0.29489999999999916
8.39999999999917 0.34359999999999885
12.23999999999917 0.31799999999999884
16.07999999999917 0.2944999999999995
19.91999999999917 0.370399999999999
23.75999999999917 0.5018999999999992
27.59999999999917 0.5317999999999987
31.43999999999917 0.44759999999999905
35.27999999999917 0.44459999999999916
39.119999999999166 0.7290999999999961
42.95999999999917 1.264499999999997
46.79999999999917 1.612399999999996
50.639999999999176 1.4982999999999962
54.47999999999918 1.473599999999996
58.31999999999918 2.1332000000000164
62.15999999999919 2.959600000000014
65.99999999999919 2.9365000000000157
69.8399999999992 2.214700000000018
73.6799999999992 1.8427999999999958
77.5199999999992 2.3856000000000184
81.3599999999992 3.564700000000018
85.1999999999992 4.8567000000000125
89.03999999999921 6.563600000000008
92.87999999999921 8.974799999999968
96.71999999999922 11.703999999999967
100.55999999999922 15.48959999999996
104.39999999999922 20.354999999999944
108.23999999999923 22.767299999999945
112.07999999999923 19.961999999999946
115.91999999999923 16.495099999999958
119.75999999999924 21.32409999999995
123.59999999999924 34.57100000000029
127.43999999999924 41.451600000000276
131.27999999999923 32.50580000000022
135.11999999999924 18.677099999999967
138.95999999999924 13.011299999999979
142.79999999999924 17.43219999999996
146.63999999999925 28.13759999999996
150.47999999999925 42.11170000000027
154.31999999999925 53.97810000000029
158.15999999999926 53.003400000000276
161.99999999999926 41.459400000000265
165.83999999999926 34.78620000000024
169.67999999999927 33.257200000000275
173.51999999999927 26.830199999999937
177.35999999999927 16.697999999999922
181.19999999999928 9.188999999999984
185.03999999999928 5.431299999999999
188.87999999999928 4.213600000000001
192.7199999999993 5.340700000000004
196.5599999999993 8.430699999999975
200.3999999999993 11.495999999999981
204.2399999999993 12.513899999999971
