cm-1 Intensity 

-414.0 0.22649999999999973
-410.16 0.32449999999999934
-406.32000000000005 0.28869999999999935
-402.4800000000001 0.16309999999999972
-398.6400000000001 0.0677000000000001
-394.8000000000001 0.03009999999999997
-390.96000000000015 0.02019999999999999
-387.1200000000002 0.017199999999999983
-383.2800000000002 0.016199999999999982
-379.4400000000002 0.01569999999999998
-375.60000000000025 0.015299999999999984
-371.7600000000003 0.015099999999999983
-367.9200000000003 0.015099999999999985
-364.0800000000003 0.014899999999999988
-360.24000000000035 0.014799999999999987
-356.4000000000004 0.014799999999999987
-352.5600000000004 0.014799999999999985
-348.7200000000004 0.014799999999999985
-344.88000000000045 0.015199999999999986
-341.0400000000005 0.015299999999999985
-337.2000000000005 0.015299999999999985
-333.3600000000005 0.015799999999999984
-329.52000000000055 0.015899999999999984
-325.6800000000006 0.016099999999999986
-321.8400000000006 0.016099999999999986
-318.0000000000006 0.016499999999999983
-314.16000000000065 0.016499999999999983
-310.3200000000007 0.016699999999999982
-306.4800000000007 0.016899999999999984
-302.6400000000007 0.016899999999999984
-298.80000000000075 0.017399999999999985
-294.9600000000008 0.017699999999999983
-291.1200000000008 0.017999999999999985
-287.2800000000008 0.018299999999999983
-283.44000000000085 0.018499999999999982
-279.6000000000009 0.019099999999999985
-275.7600000000009 0.019499999999999986
-271.9200000000009 0.020299999999999985
-268.08000000000095 0.02179999999999998
-264.240000000001 0.02279999999999998
-260.400000000001 0.023799999999999977
-256.560000000001 0.025899999999999986
-252.72000000000102 0.02929999999999998
-248.88000000000102 0.036800000000000006
-245.04000000000102 0.04940000000000013
-241.200000000001 0.06800000000000017
-237.360000000001 0.09210000000000017
-233.520000000001 0.12460000000000016
-229.680000000001 0.2047999999999992
-225.840000000001 0.4213999999999992
-222.000000000001 0.8052999999999982
-218.160000000001 1.1835999999999969
-214.320000000001 1.2605999999999973
-210.48000000000098 0.9496999999999985
-206.64000000000098 0.5272999999999983
-202.80000000000098 0.2637999999999994
-198.96000000000097 0.18459999999999938
-195.12000000000097 0.2336999999999995
-191.28000000000097 0.3540999999999993
-187.44000000000096 0.4398999999999994
-183.60000000000096 0.42069999999999924
-179.76000000000096 0.3650999999999991
-175.92000000000095 0.3894999999999992
-172.08000000000095 0.5273999999999981
-168.24000000000095 0.7633999999999982
-164.40000000000094 0.9738999999999982
-160.56000000000094 0.9510999999999975
-156.72000000000094 0.7514999999999978
-152.88000000000093 0.642199999999998
-149.04000000000093 0.6518999999999985
-145.20000000000093 0.6290999999999982
-141.36000000000092 0.5639999999999983
-137.52000000000092 0.5324999999999982
-133.68000000000092 0.5253999999999983
-129.8400000000009 0.5420999999999981
-126.00000000000091 0.619699999999998
-122.1600000000009 0.6802999999999981
-118.3200000000009 0.5822999999999982
-114.4800000000009 0.39369999999999933
-110.6400000000009 0.28449999999999914
-106.80000000000089 0.26979999999999915
-102.96000000000089 0.2689999999999992
-99.12000000000089 0.2940999999999991
-95.28000000000088 0.4218999999999994
-91.44000000000088 0.6005999999999981
-87.60000000000088 0.6548999999999982
-83.76000000000087 0.5458999999999982
-79.92000000000087 0.4302999999999992
-76.08000000000087 0.3759999999999992
-72.24000000000086 0.2933999999999991
-68.40000000000086 0.17789999999999923
-64.56000000000085 0.10230000000000032
-60.72000000000085 0.08060000000000027
-56.88000000000085 0.0800000000000003
-53.040000000000845 0.08020000000000028
-49.20000000000084 0.08760000000000026
-45.36000000000084 0.11730000000000036
-41.520000000000834 0.19049999999999934
-37.68000000000083 0.33409999999999884
-33.84000000000083 0.48509999999999875
-30.000000000000828 0.4769999999999987
-26.160000000000828 0.30839999999999856
-22.320000000000828 0.15049999999999986
-18.480000000000828 0.07990000000000026
-14.640000000000828 0.059800000000000075
-10.800000000000828 0.05480000000000008
-6.960000000000829 0.05420000000000007
-3.1200000000008288 0.05520000000000007
0.7199999999991711 0.05890000000000005
4.559999999999171 0.0639000000000001
8.39999999999917 0.06750000000000012
12.23999999999917 0.0685000000000001
16.07999999999917 0.07040000000000012
19.91999999999917 0.07980000000000018
23.75999999999917 0.09340000000000023
27.59999999999917 0.10080000000000021
31.43999999999917 0.10470000000000024
35.27999999999917 0.13899999999999996
39.119999999999166 0.2827999999999992
42.95999999999917 0.6045999999999981
46.79999999999917 0.9435999999999981
50.639999999999176 0.971799999999998
54.47999999999918 0.7551999999999978
58.31999999999918 0.6754999999999981
62.15999999999919 0.7333999999999976
65.99999999999919 0.6520999999999977
69.8399999999992 0.44399999999999906
73.6799999999992 0.33559999999999907
77.5199999999992 0.4193999999999991
81.3599999999992 0.6609999999999973
85.1999999999992 1.0433999999999979
89.03999999999921 1.5898999999999968
92.87999999999921 2.0473000000000043
96.71999999999922 2.083800000000014
100.55999999999922 2.0222000000000038
104.39999999999922 2.224700000000016
108.23999999999923 2.2109000000000156
112.07999999999923 1.5859999999999965
115.91999999999923 0.8384999999999978
119.75999999999924 0.48419999999999896
123.59999999999924 0.5252999999999988
127.43999999999924 0.7319999999999977
131.27999999999923 0.8203999999999974
135.11999999999924 0.723099999999998
138.95999999999924 0.7264999999999979
142.79999999999924 1.1831999999999963
146.63999999999925 2.250900000000021
150.47999999999925 3.5452000000000163
154.31999999999925 3.9430000000000214
158.15999999999926 2.908000000000019
161.99999999999926 1.5222999999999962
165.83999999999926 0.839399999999998
169.67999999999927 0.8383999999999977
173.51999999999927 1.1050999999999969
177.35999999999927 1.2746999999999964
181.19999999999928 1.2444999999999966
185.03999999999928 1.303899999999996
188.87999999999928 1.8750999999999958
192.7199999999993 3.1741000000000206
